"","section","category","corr_full","corr_old","corr_rec"
"348","E13VBetn03s01","above_ground",1,NA,NA
"349","E13VBetn03s02","above_ground",0.982417582417582,0.982417582417582,NA
"350","E13VBetn03s03","above_ground",0.86013986013986,0.86013986013986,NA
"351","E13VBetn03s04","above_ground",0.825174825174825,0.825174825174825,NA
"352","E13VBetn03s05","above_ground",0.763636363636364,0.763636363636364,NA
"353","E13VBetn03s06","above_ground",0.866666666666667,0.866666666666667,NA
"354","E13VBetn03s07","above_ground",0.75,0.75,NA
"355","E13VBetn03s08","above_ground",0.976190476190476,0.976190476190476,NA
"356","E13VBetn03s09","above_ground",1,1,NA
"357","E13VBetn03s10","above_ground",1,NA,1
"358","E13VBetn03t01","above_ground",0.978021978021978,0.978021978021978,NA
"359","E13VBetn03t02","above_ground",0.846153846153846,0.846153846153846,NA
"360","E13VBetn03t03","above_ground",0.927272727272727,0.927272727272727,NA
"361","E13VBetn03t04","above_ground",0.964285714285714,0.964285714285714,NA
"362","E13VBetn03t05","above_ground",0.6,0.6,NA
"363","E13VBetn03t06","above_ground",1,1,NA
"364","E13VBetn03t07","above_ground",1,NA,1
"365","E13VBetn03t08","above_ground",NA,NA,NA
"366","E13VBetn03u01","above_ground",0.748251748251748,0.748251748251748,NA
"367","E13VBetn03u02","above_ground",0.983333333333333,0.983333333333333,NA
"368","E13VBetn03u03","above_ground",0.885714285714286,0.885714285714286,NA
"369","E13VBetn03u04","above_ground",1,1,NA
"370","E13VBetn03u05","above_ground",1,NA,1
"371","E13VBetn03u06","above_ground",1,NA,1
"372","E13VBetn03u07","above_ground",1,NA,1
"373","E13VBetn03u08","above_ground",NA,NA,NA
