"scientificName","decimalLongitude","decimalLatitude","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","references"
"Betula nana L.",33.09,68.942,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/168287719"
"Betula nana L.",30.811,60.302,NA,"PRESENT",1590,"iNaturalist","https://www.inaturalist.org/observations/168360255"
"Betula nana L.",66.57,66.586,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/168491720"
"Betula nana L.",-17.55,65.684,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/168581227"
"Betula nana L.",7.386,60.389,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/168643310"
"Betula nana L.",82.849,56.855,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/168835157"
"Betula nana L.",29.296,66.194,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/168901329"
"Betula nana L.",-20.13,65.583,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/168965196"
"Betula nana L.",18.78,68.352,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169041912"
"Betula nana L.",30.176,60.032,NA,"PRESENT",1000,"iNaturalist","https://www.inaturalist.org/observations/169066265"
"Betula nana L.",28.63,70.102,NA,"PRESENT",2,"iNaturalist","https://www.inaturalist.org/observations/169089465"
"Betula nana L.",23.788,62.034,NA,"PRESENT",24554,"iNaturalist","https://www.inaturalist.org/observations/169162015"
"Betula nana L.",22.629,61.574,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169180118"
"Betula nana L.",30.04,62.629,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169184909"
"Betula nana L.",29.144,69.676,NA,"PRESENT",2,"iNaturalist","https://www.inaturalist.org/observations/169187964"
"Betula nana L.",30.054,69.718,NA,"PRESENT",2,"iNaturalist","https://www.inaturalist.org/observations/169192638"
"Betula nana L.",76.705,66.134,NA,"PRESENT",31,"iNaturalist","https://www.inaturalist.org/observations/169229506"
"Betula nana L.",23.655,70.697,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169248666"
"Betula nana L.",-22.803,65.611,NA,"PRESENT",6,"iNaturalist","https://www.inaturalist.org/observations/169284838"
"Betula nana L.",-17.544,65.685,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169355935"
"Betula nana L.",29.947,69.416,NA,"PRESENT",2,"iNaturalist","https://www.inaturalist.org/observations/169363148"
"Betula nana L.",8.596,60.973,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169376954"
"Betula nana L.",7.497,62.082,NA,"PRESENT",24554,"iNaturalist","https://www.inaturalist.org/observations/169405622"
"Betula nana L.",-51.678,64.168,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169427694"
"Betula nana L.",29.142,69.194,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/169568770"
"Betula nana L.",89.795,51.757,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/169589458"
